zona,tahun,bulan,n_episode,n_hari_terpicu,hari_dalam_bulan,musim
7,2023,5,3,6,31,Peralihan I
7,2023,6,1,1,30,Timur
7,2023,7,2,6,31,Timur
7,2023,8,1,1,31,Timur
7,2023,9,0,0,30,Peralihan II
7,2023,10,0,0,31,Peralihan II
7,2023,11,0,0,30,Peralihan II
7,2023,12,0,0,31,Barat
7,2024,1,2,13,31,Barat
7,2024,2,0,0,29,Barat
7,2024,3,1,6,31,Peralihan I
7,2024,4,0,0,30,Peralihan I
7,2024,5,1,4,31,Peralihan I
7,2024,6,3,6,30,Timur
7,2024,7,3,7,31,Timur
7,2024,8,0,0,31,Timur
7,2024,9,1,2,30,Peralihan II
7,2024,10,0,0,31,Peralihan II
7,2024,11,0,0,30,Peralihan II
7,2024,12,0,0,31,Barat
7,2025,1,0,0,31,Barat
7,2025,2,1,9,28,Barat
7,2025,3,0,0,31,Peralihan I
7,2025,4,2,3,30,Peralihan I
7,2025,5,2,7,31,Peralihan I
7,2025,6,2,6,30,Timur
7,2025,7,0,2,31,Timur
7,2025,8,1,2,31,Timur
7,2025,9,0,0,30,Peralihan II
7,2025,10,0,0,31,Peralihan II
7,2025,11,1,3,30,Peralihan II
7,2025,12,0,0,31,Barat
