zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,77,0.25,-8.0,107.5,0.3620242403035312,0.0851063829787234
573-A,1,77,0.25,-8.0,108.0,0.420291529052938,0.06818181818181818
573-A,1,77,0.25,-8.0,108.5,0.4302217184109062,0.0625
573-A,1,77,0.25,-8.0,109.0,0.4472832824358237,0.07142857142857142
573-A,1,77,0.25,-8.0,109.5,0.47287467532922145,0.06521739130434782
573-A,1,77,0.25,-8.5,109.5,0.4035301246922315,0.06666666666666667
573-A,1,77,0.25,-8.5,110.0,0.4139907586126219,0.09090909090909091
573-A,1,77,0.25,-8.5,110.5,0.44605812111117016,0.06666666666666667
573-A,1,77,0.25,-8.5,111.0,0.47314255196047894,0.06976744186046512
573-A,1,77,0.25,-8.5,111.5,0.48638812368286666,0.04878048780487805
573-A,1,77,0.25,-8.5,112.0,0.5115312889800052,0.06521739130434782
573-A,1,77,0.25,-8.5,112.5,0.5013709645042053,0.046511627906976744
573-A,1,77,0.25,-8.5,113.0,0.5254501264818212,0.0851063829787234
573-A,1,77,0.25,-8.5,113.5,0.5218402692493311,0.09090909090909091
573-A,1,77,0.25,-8.5,114.0,0.5116080876219175,0.06818181818181818
573-A,1,77,0.25,-8.5,114.5,0.4461366694340271,0.1111111111111111
573-A,1,77,0.25,-8.5,115.5,0.4570757050964869,0.06976744186046512
573-A,1,77,0.25,-9.0,114.5,0.4415285944845976,0.06818181818181818
573-A,1,77,0.25,-9.0,115.0,0.45605612998522893,0.09090909090909091
573-A,1,77,0.25,-9.0,115.5,0.47760153426017105,0.06818181818181818
573-A,1,77,0.25,-9.0,117.0,0.31138732091972643,0.09302325581395349
573-A,1,77,0.25,-9.0,117.5,0.3297920656816754,0.09090909090909091
573-A,1,77,0.25,-9.0,118.0,0.32125112490830565,0.09090909090909091
573-A,1,77,0.25,-9.0,118.5,0.34442021581696924,0.07317073170731707
573-A,1,77,0.25,-9.0,119.0,0.274350330903784,0.11627906976744186
573-A,1,78,0.25,-7.0,106.0,0.24893712508495613,0.11363636363636363
573-A,1,78,0.25,-7.5,106.0,0.2709506820566634,0.08695652173913043
573-A,1,78,0.25,-7.5,106.5,0.460032640282656,0.06666666666666667
573-A,1,78,0.25,-7.5,107.0,0.42023801441882647,0.02564102564102564
573-A,1,78,0.25,-7.5,107.5,0.4241218783583235,0.06382978723404255
573-A,1,78,0.25,-8.0,107.5,0.4416102261767235,0.06382978723404255
573-A,1,78,0.25,-8.0,108.0,0.5264074710989182,0.045454545454545456
573-A,1,78,0.25,-8.0,108.5,0.5479277445080009,0.041666666666666664
573-A,1,78,0.25,-8.0,109.0,0.5487110583658372,0.047619047619047616
573-A,1,78,0.25,-8.0,109.5,0.5545277717491501,0.043478260869565216
573-A,1,78,0.25,-8.5,109.5,0.5119256578223524,0.044444444444444446
573-A,1,78,0.25,-8.5,110.0,0.5048991294769062,0.06818181818181818
573-A,1,78,0.25,-8.5,110.5,0.5273607990324607,0.044444444444444446
573-A,1,78,0.25,-8.5,111.0,0.5555144124497455,0.046511627906976744
573-A,1,78,0.25,-8.5,111.5,0.5750367418766289,0.024390243902439025
573-A,1,78,0.25,-8.5,112.0,0.5881988613207199,0.021739130434782608
573-A,1,78,0.25,-8.5,112.5,0.5807704204159205,0.023255813953488372
573-A,1,78,0.25,-8.5,113.0,0.5482819552601559,0.06382978723404255
573-A,1,78,0.25,-8.5,113.5,0.5458816207189916,0.06818181818181818
573-A,1,78,0.25,-8.5,114.0,0.5206996018146948,0.045454545454545456
573-A,1,78,0.25,-8.5,114.5,0.501259308032661,0.06666666666666667
573-A,1,78,0.25,-8.5,115.5,0.5241223661966022,0.046511627906976744
