zona,tier,tahun,bulan,t_tengah,t_absolut,hari,n_episode,n_hari_terpicu,cos1,sin1,cos2,sin2,musim,u_k
573-A,1,2011,8,227,3878,31,4,14,-0.740116,-0.67248,0.095543,0.995425,Timur,2.2909
573-A,1,2011,9,258,3909,30,3,7,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,2.2909
573-A,1,2011,10,288,3939,31,1,5,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,2.2909
573-A,1,2011,11,319,3970,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,2.2909
573-A,1,2011,12,349,4000,31,0,0,0.953744,-0.30062,0.819255,-0.57343,Barat,2.2909
573-A,1,2012,1,15,4031,31,2,9,0.974136,0.225964,0.897881,0.440238,Barat,2.2909
573-A,1,2012,2,46,4062,29,0,0,0.724004,0.689796,0.048363,0.99883,Barat,2.2909
573-A,1,2012,3,75,4091,31,2,9,0.305743,0.952114,-0.813042,0.582205,Peralihan I,2.2909
573-A,1,2012,4,106,4122,30,2,7,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,2.2909
573-A,1,2012,5,136,4152,31,2,4,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,2.2909
573-A,1,2012,6,167,4183,30,1,3,-0.955663,0.294462,0.826585,-0.562812,Timur,2.2909
573-A,1,2012,7,197,4213,31,2,10,-0.976509,-0.215477,0.907139,0.420831,Timur,2.2909
573-A,1,2012,8,228,4244,31,3,7,-0.731378,-0.681972,0.069828,0.997559,Timur,2.2909
573-A,1,2012,9,259,4275,30,2,9,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,2.2909
573-A,1,2012,10,289,4305,31,0,0,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,2.2909
573-A,1,2012,11,320,4336,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,2.2909
573-A,1,2012,12,350,4366,31,1,1,0.957543,-0.288291,0.833777,-0.552101,Barat,2.2909
573-A,1,2013,1,15,4397,31,1,8,0.971139,0.238513,0.886224,0.463258,Barat,2.2909
573-A,1,2013,2,46,4428,28,1,3,0.715044,0.699079,0.022576,0.999745,Barat,2.2909
573-A,1,2013,3,74,4456,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,2.2909
573-A,1,2013,4,105,4487,30,1,2,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,2.2909
573-A,1,2013,5,135,4517,31,1,6,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,2.2909
573-A,1,2013,6,166,4548,30,1,5,-0.954388,0.298569,0.821713,-0.569901,Timur,2.2909
573-A,1,2013,7,196,4578,31,2,9,-0.977426,-0.211276,0.910725,0.413013,Timur,2.2909
573-A,1,2013,8,227,4609,31,3,7,-0.734304,-0.67882,0.078406,0.996922,Timur,2.2909
573-A,1,2013,9,258,4640,30,3,20,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,2.2909
573-A,1,2013,10,288,4670,31,1,7,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,2.2909
573-A,1,2013,11,319,4701,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,2.2909
573-A,1,2013,12,349,4731,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,2.2909
573-A,1,2014,1,15,4762,31,1,1,0.972156,0.234334,0.890175,0.455618,Barat,2.2909
573-A,1,2014,2,46,4793,28,1,2,0.718044,0.695998,0.031174,0.999514,Barat,2.2909
573-A,1,2014,3,74,4821,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,2.2909
573-A,1,2014,4,105,4852,30,2,3,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,2.2909
573-A,1,2014,5,135,4882,31,2,9,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,2.2909
573-A,1,2014,6,166,4913,30,4,13,-0.953095,0.30267,0.816781,-0.576948,Timur,2.2909
573-A,1,2014,7,196,4943,31,4,15,-0.978326,-0.20707,0.914244,0.405165,Timur,2.2909
573-A,1,2014,8,227,4974,31,4,13,-0.737217,-0.675656,0.086977,0.99621,Timur,2.2909
573-A,1,2014,9,258,5005,30,3,12,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,2.2909
573-A,1,2014,10,288,5035,31,1,2,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,2.2909
573-A,1,2014,11,319,5066,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,2.2909
573-A,1,2014,12,349,5096,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,2.2909
573-A,1,2015,1,15,5127,31,1,2,0.973155,0.230151,0.894061,0.447945,Barat,2.2909
573-A,1,2015,2,46,5158,28,0,0,0.721031,0.692903,0.03977,0.999209,Barat,2.2909
573-A,1,2015,3,74,5186,31,0,0,0.318001,0.94809,-0.79775,0.602988,Peralihan I,2.2909
573-A,1,2015,4,105,5217,30,1,1,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,2.2909
573-A,1,2015,5,135,5247,31,2,4,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,2.2909
573-A,1,2015,6,166,5278,30,3,12,-0.951785,0.306767,0.811789,-0.583951,Timur,2.2909
573-A,1,2015,7,196,5308,31,0,0,-0.979208,-0.202861,0.917695,0.397286,Timur,2.2909
573-A,1,2015,8,227,5339,31,2,4,-0.740116,-0.67248,0.095543,0.995425,Timur,2.2909
573-A,1,2015,9,258,5370,30,3,8,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,2.2909
573-A,1,2015,10,288,5400,31,1,6,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,2.2909
573-A,1,2015,11,319,5431,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,2.2909
573-A,1,2015,12,349,5461,31,0,0,0.953744,-0.30062,0.819255,-0.57343,Barat,2.2909
573-A,1,2016,1,15,5492,31,0,0,0.974136,0.225964,0.897881,0.440238,Barat,2.2909
573-A,1,2016,2,46,5523,29,0,0,0.724004,0.689796,0.048363,0.99883,Barat,2.2909
573-A,1,2016,3,75,5552,31,0,0,0.305743,0.952114,-0.813042,0.582205,Peralihan I,2.2909
573-A,1,2016,4,106,5583,30,1,1,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,2.2909
573-A,1,2016,5,136,5613,31,3,10,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,2.2909
573-A,1,2016,6,167,5644,30,2,11,-0.955663,0.294462,0.826585,-0.562812,Timur,2.2909
573-A,1,2016,7,197,5674,31,3,8,-0.976509,-0.215477,0.907139,0.420831,Timur,2.2909
573-A,1,2016,8,228,5705,31,3,11,-0.731378,-0.681972,0.069828,0.997559,Timur,2.2909
573-A,1,2016,9,259,5736,30,2,6,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,2.2909
573-A,1,2016,10,289,5766,31,3,5,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,2.2909
573-A,1,2016,11,320,5797,30,0,0,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,2.2909
573-A,1,2016,12,350,5827,31,2,5,0.957543,-0.288291,0.833777,-0.552101,Barat,2.2909
573-A,1,2017,1,15,5858,31,1,2,0.971139,0.238513,0.886224,0.463258,Barat,2.2909
573-A,1,2017,2,46,5889,28,2,6,0.715044,0.699079,0.022576,0.999745,Barat,2.2909
573-A,1,2017,3,74,5917,31,2,4,0.309835,0.95079,-0.808005,0.589176,Peralihan I,2.2909
573-A,1,2017,4,105,5948,30,1,1,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,2.2909
573-A,1,2017,5,135,5978,31,2,5,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,2.2909
573-A,1,2017,6,166,6009,30,2,10,-0.954388,0.298569,0.821713,-0.569901,Timur,2.2909
573-A,1,2017,7,196,6039,31,4,9,-0.977426,-0.211276,0.910725,0.413013,Timur,2.2909
