lat,lon,zona,korelasi_thd_indeks
-12.5000,107.5000,1,0.8481
-12.5000,108.0000,1,0.8573
-12.5000,108.5000,1,0.8655
-12.5000,109.0000,1,0.8738
-12.5000,109.5000,1,0.8813
-12.5000,110.0000,1,0.8881
-12.5000,110.5000,1,0.8937
-12.5000,111.0000,1,0.8978
-12.5000,111.5000,1,0.9010
-12.5000,112.0000,1,0.9036
-12.5000,112.5000,1,0.9051
-12.5000,113.0000,1,0.9056
-12.5000,113.5000,1,0.9049
-12.5000,114.0000,1,0.9024
-12.5000,114.5000,1,0.8982
-12.5000,115.0000,1,0.8927
-12.5000,115.5000,1,0.8881
-12.5000,116.0000,1,0.8825
-12.5000,116.5000,1,0.8749
-12.5000,117.0000,1,0.8654
-12.5000,117.5000,4,0.8541
-12.5000,118.0000,4,0.8679
-12.5000,118.5000,4,0.8801
-12.5000,119.0000,4,0.8900
-12.5000,119.5000,4,0.8971
-12.5000,120.0000,4,0.9015
-12.5000,120.5000,4,0.9030
-12.5000,121.0000,4,0.9023
-12.5000,121.5000,4,0.8980
-12.5000,122.0000,4,0.8861
-12.5000,122.5000,4,0.8659
-12.5000,123.0000,4,0.8349
-12.5000,123.5000,4,0.8015
-12.5000,124.0000,5,0.8311
-12.5000,124.5000,5,0.8572
-12.5000,125.0000,5,0.8798
-12.5000,125.5000,5,0.8994
-12.5000,126.0000,5,0.9155
-12.5000,126.5000,5,0.9266
-12.5000,127.0000,5,0.9332
-12.5000,127.5000,5,0.9348
-12.5000,128.0000,5,0.9309
-13.0000,104.0000,1,0.7626
-13.0000,104.5000,1,0.7729
-13.0000,105.0000,1,0.7818
-13.0000,105.5000,1,0.7921
-13.0000,106.0000,1,0.8036
-13.0000,106.5000,1,0.8126
-13.0000,107.0000,1,0.8213
-13.0000,107.5000,1,0.8304
-13.0000,108.0000,1,0.8394
-13.0000,108.5000,1,0.8482
-13.0000,109.0000,1,0.8567
-13.0000,109.5000,1,0.8648
-13.0000,110.0000,1,0.8718
-13.0000,110.5000,1,0.8782
-13.0000,111.0000,1,0.8830
-13.0000,111.5000,1,0.8866
-13.0000,112.0000,1,0.8891
-13.0000,112.5000,1,0.8903
-13.0000,113.0000,1,0.8911
-13.0000,113.5000,1,0.8904
-13.0000,114.0000,1,0.8883
-13.0000,114.5000,1,0.8842
-13.0000,115.0000,1,0.8795
-13.0000,115.5000,1,0.8759
-13.0000,116.0000,1,0.8704
-13.0000,116.5000,1,0.8623
-13.0000,117.0000,1,0.8522
-13.0000,117.5000,1,0.8399
-13.0000,118.0000,4,0.8503
-13.0000,118.5000,4,0.8619
-13.0000,119.0000,4,0.8708
-13.0000,119.5000,4,0.8767
-13.0000,120.0000,4,0.8803
-13.0000,120.5000,4,0.8806
-13.0000,121.0000,4,0.8775
-13.0000,121.5000,4,0.8703
-13.0000,122.0000,4,0.8505
-13.0000,122.5000,4,0.8217
-13.0000,123.0000,4,0.7945
-13.0000,123.5000,5,0.8102
-13.0000,124.0000,5,0.8397
-13.0000,124.5000,5,0.8692
-13.0000,125.0000,5,0.8961
-13.0000,125.5000,5,0.9192
-13.0000,126.0000,5,0.9373
-13.0000,126.5000,5,0.9487
-13.0000,127.0000,5,0.9550
-13.0000,127.5000,5,0.9568
-13.0000,128.0000,5,0.9524
-13.5000,104.0000,1,0.7460
-13.5000,104.5000,1,0.7558
-13.5000,105.0000,1,0.7652
-13.5000,105.5000,1,0.7756
-13.5000,106.0000,1,0.7863
-13.5000,106.5000,1,0.7969
-13.5000,107.0000,1,0.8065
-13.5000,107.5000,1,0.8153
-13.5000,108.0000,1,0.8238
-13.5000,108.5000,1,0.8317
-13.5000,109.0000,1,0.8395
-13.5000,109.5000,1,0.8474
-13.5000,110.0000,1,0.8547
-13.5000,110.5000,1,0.8611
-13.5000,111.0000,1,0.8667
-13.5000,111.5000,1,0.8708
-13.5000,112.0000,1,0.8728
-13.5000,112.5000,1,0.8734
-13.5000,113.0000,1,0.8740
-13.5000,113.5000,1,0.8741
-13.5000,114.0000,1,0.8719
-13.5000,114.5000,1,0.8680
-13.5000,115.0000,1,0.8648
-13.5000,115.5000,1,0.8619
-13.5000,116.0000,1,0.8565
-13.5000,116.5000,1,0.8491
-13.5000,117.0000,1,0.8386
-13.5000,117.5000,1,0.8258
-13.5000,118.0000,4,0.8318
-13.5000,118.5000,4,0.8425
-13.5000,119.0000,4,0.8498
-13.5000,119.5000,4,0.8542
-13.5000,120.0000,4,0.8562
-13.5000,120.5000,4,0.8543
-13.5000,121.0000,4,0.8487
-13.5000,121.5000,4,0.8372
-13.5000,122.0000,4,0.7925
