zona,tier,musim,cacah,phi_dipakai,lambda_musim,massa,E_W,sd_W,E_W_data,sd_W_data,f,E_payout,p_bayar,W_q99,dijual,premi_musim
573-D,2,Barat,Poisson,1.0,2.1121263613216685,1.0000000000000002,6.358004951145774,5.218637312841393,8.75,3.969996166902103,2,4.6318191365069445,0.7249323717652701,22,False,1945364.0373329166
573-D,2,Barat,Binomial,0.5110746513535684,2.1121263613216685,0.9999999999999996,6.3580049511457695,4.138613132835912,8.75,3.969996166902103,3,3.7030887783655517,0.7161522322940996,18,False,1555297.2869135318
573-D,2,Peralihan I,Poisson,1.0,1.6608555949105048,1.0,4.999572132119677,4.6276776908969754,4.92,3.604626656580863,1,4.174059560737146,0.7324888931749105,19,False,1753105.0155096014
573-D,2,Peralihan I,Binomial,0.8293650793650794,1.6608555949105048,1.000000000000001,4.999572132119681,4.34923311175646,4.92,3.604626656580863,2,3.3998707096591323,0.6451662310601745,18,False,1427945.6980568354
573-D,2,Timur,Poisson,1.0,6.400730132228825,1.0000000000000007,19.267726882682002,9.084727919078675,18.24,6.685057965343307,13,6.946807905862562,0.7149864899017047,44,False,2917659.3204622758
573-D,2,Timur,Binomial,0.8854166666666666,6.400730132228825,1.000000000000002,19.267726882682023,8.712227098760263,18.24,6.685057965343307,13,6.923534614668462,0.7264453342512611,43,False,2907884.538160754
573-D,2,Peralihan II,Poisson,1.0,1.5050003307457651,1.0,4.530410551937764,4.405198313673302,3.44,3.742548151549512,1,3.74220712275028,0.6958742769042047,18,False,1571726.9915551175
573-D,2,Peralihan II,Binomial,0.8513513513513513,1.5050003307457651,1.0000000000000002,4.5304105519377655,4.165730452859282,3.44,3.742548151549512,1,3.721508330731054,0.7190743838683676,17,False,1563033.4989070427
573-D,3,Barat,Poisson,1.0,1.6595843656788367,1.0000000000000002,4.566371527382981,4.290256324328185,6.333333333333333,4.00723982492847,1,3.7481730416679326,0.7102940435346599,18,False,
573-D,3,Barat,Binomial,0.7080745341614907,1.6595843656788367,1.0,4.566371527382981,3.8640662314142165,6.333333333333333,4.00723982492847,2,2.9556648687933738,0.630202092300949,16,False,
573-D,3,Peralihan I,Poisson,1.0,0.8768992458042826,1.0,2.4128015611826923,3.118590998688677,2.16,2.4610295948376297,0,2.411942937491901,0.5839289524003679,13,False,
573-D,3,Peralihan I,Binomial,0.5634920634920636,0.8768992458042826,1.0,2.4128015611826914,2.6105179812212023,2.16,2.4610295948376297,0,2.4128015611826914,0.6846611739812525,10,False,
573-D,3,Timur,Poisson,1.0,3.3196708790002374,1.0,9.134124721612773,6.067797617812405,8.28,4.296510211788167,5,4.752793417113867,0.6863767199681385,27,False,
573-D,3,Timur,Binomial,0.865079365079365,3.3196708790002374,1.0000000000000016,9.134124721612787,5.7862663742287825,8.28,4.296510211788167,5,4.706216057252229,0.6999126469735986,26,False,
573-D,3,Peralihan II,Poisson,1.0,0.7173420192417984,0.9999999999999999,1.9737774347622814,2.8206338157407003,1.36,2.5311394008759507,0,1.9734024549040765,0.5119522449665808,12,False,
573-D,3,Peralihan II,Binomial,0.9460784313725489,0.7173420192417984,1.0000000000000002,1.9737774347622816,2.767001699014275,1.36,2.5311394008759507,0,1.9735599440725702,0.5218798091734909,11,False,
573-F,1,Barat,Poisson,1.0,1.952461892686114,1.0000000000000002,7.401776757160543,6.088650417865148,7.416666666666667,4.652410938022552,3,4.9178101156364695,0.69052501156407,25,True,1116342.8962494787
