zona,tier,P_rugi,p,q,u_z,HE_rata,HE_p10,HE_min,FN_buruk_rata,FN_buruk_p90,p_bayar,hari_bayar_thn,premi_murni_thn
573-A,1,85,88,0.0,2.3669,0.5693596048006508,0.4344037843023523,0.3439466918826277,0.0022229541794759186,0.0021739130434782917,0.9393939393939394,39.026666666666664,8468786.666666666
573-A,1,85,88,0.25,2.3669,0.6734681292902496,0.5478556768803481,0.30456491386188345,0.060271330676238084,0.09090909090909091,0.6161616161616161,15.435,3349395.0
573-A,1,85,88,0.5,2.3669,0.6089791827396147,0.46140739324339697,0.32880234035637246,0.14954331808670834,0.2176033934252386,0.46464646464646464,10.133333333333335,2198933.3333333335
573-A,1,85,89,0.0,2.3975,0.5850041133738145,0.4540978912723226,0.3267938669070063,0.020254865880272206,0.02733224222585927,0.9090909090909091,36.615,7945455.0
573-A,1,85,89,0.25,2.3975,0.6567948271346754,0.5345193449264575,0.2454576179781922,0.04282750520433731,0.08529139685476411,0.7171717171717171,16.575,3596775.0
573-A,1,85,89,0.5,2.3975,0.5800788482765901,0.4490741770751755,0.2876327901066753,0.16608671342364698,0.20454545454545456,0.47474747474747475,9.685,2101645.0
573-A,1,85,90,0.0,2.4281,0.5795688201680299,0.47428972466202773,0.2953222422505246,0.029339097456802306,0.05028541774779452,0.8787878787878788,34.126666666666665,7405486.666666666
573-A,1,85,90,0.25,2.4281,0.5946931185106804,0.47202229144744057,0.2188174108330132,0.07841662425149022,0.11282051282051284,0.6363636363636364,15.846666666666668,3438726.666666667
573-A,1,85,90,0.5,2.4281,0.5355794285218572,0.41429512788222367,0.2391930276883072,0.21266229887436477,0.25,0.4444444444444444,9.841666666666667,2135641.6666666665
573-A,1,85,91,0.0,2.4609,0.570303886227349,0.4713413098829681,0.2476323099199198,0.031562051636278225,0.0653623188405797,0.8686868686868687,31.31,6794270.0
573-A,1,85,91,0.25,2.4609,0.5814125302556881,0.4870904720746042,0.19151694689873233,0.08674186287661294,0.12871794871794873,0.6262626262626263,14.790000000000001,3209430.0
573-A,1,85,91,0.5,2.4609,0.516173414053654,0.43456240279785713,0.21615883839130046,0.22183904175502142,0.25053191489361704,0.4444444444444444,9.985,2166745.0
573-A,1,85,92,0.0,2.4913,0.5206697821470556,0.44239128601018257,0.2005121376436868,0.031562051636278225,0.0653623188405797,0.8484848484848485,28.695,6226815.0
573-A,1,85,92,0.25,2.4913,0.5046697100865704,0.42962719503335867,0.15432555923288338,0.0865839682294531,0.1111111111111111,0.6464646464646465,14.655000000000001,3180135.0000000005
573-A,1,85,92,0.5,2.4913,0.4771599427789152,0.4092805492429474,0.226981509116161,0.22105300035403452,0.25,0.46464646464646464,9.151666666666667,1985911.6666666667
