struktur,harga,lam,zona,tier,premi_murni,bruto_A ketat,bruto_B ramah
S2 XoL agregat 1.5->50 thn,wang,0.3,573-A,1,4144192.22,6074625.960208589,5597698.423458151
S2 XoL agregat 1.5->50 thn,wang,0.3,573-A,2,10829805.45,15887177.504415292,14634668.518463902
S2 XoL agregat 1.5->50 thn,wang,0.3,573-F,1,4321598.76,5625004.492116936,5340296.271137854
S2 XoL agregat 1.5->100 thn,wang,0.3,573-A,1,4144192.22,6003827.301582402,5562590.212312625
S2 XoL agregat 1.5->100 thn,wang,0.3,573-A,2,10829805.45,15700543.257991802,14542090.532980867
S2 XoL agregat 1.5->100 thn,wang,0.3,573-F,1,4321598.76,5594431.51723719,5325301.5246598
S2 XoL agregat 1.5->200 thn,wang,0.3,573-A,1,4144192.22,5935703.371204591,5526599.651386047
S2 XoL agregat 1.5->200 thn,wang,0.3,573-A,2,10829805.45,15521023.003582632,14447246.814848386
S2 XoL agregat 1.5->200 thn,wang,0.3,573-F,1,4321598.76,5564661.010237781,5309588.408796372
S2 XoL agregat 1.5->500 thn,wang,0.3,573-A,1,4144192.22,5852111.030778278,5480844.726784504
S2 XoL agregat 1.5->500 thn,wang,0.3,573-A,2,10829805.45,15289396.877467781,14320282.7492723
S2 XoL agregat 1.5->500 thn,wang,0.3,573-F,1,4321598.76,5579798.933349093,5318756.093283538
S2 XoL agregat 1.5->inf thn,wang,0.3,573-A,1,4144192.22,5846985.654202115,5479092.822894982
S2 XoL agregat 1.5->inf thn,wang,0.3,573-A,2,10829805.45,15274005.490949644,14314638.179546244
S2 XoL agregat 1.5->inf thn,wang,0.3,573-F,1,4321598.76,5583726.611310123,5321445.276654954
S2 XoL agregat 2->50 thn,wang,0.3,573-A,1,4144192.22,5999698.808053436,5508656.357424743
S2 XoL agregat 2->50 thn,wang,0.3,573-A,2,10829805.45,15695222.981578996,14404416.29770197
S2 XoL agregat 2->50 thn,wang,0.3,573-F,1,4321598.76,5544462.384750077,5266400.281577984
S2 XoL agregat 2->100 thn,wang,0.3,573-A,1,4144192.22,5928900.149427247,5473548.146279217
S2 XoL agregat 2->100 thn,wang,0.3,573-A,2,10829805.45,15508588.735155504,14311838.312218934
S2 XoL agregat 2->100 thn,wang,0.3,573-F,1,4321598.76,5513889.409870331,5251405.53509993
S2 XoL agregat 2->200 thn,wang,0.3,573-A,1,4144192.22,5860776.219049437,5437557.585352638
S2 XoL agregat 2->200 thn,wang,0.3,573-A,2,10829805.45,15329068.480746333,14216994.594086455
S2 XoL agregat 2->200 thn,wang,0.3,573-F,1,4321598.76,5484118.902870922,5235692.419236502
S2 XoL agregat 2->500 thn,wang,0.3,573-A,1,4144192.22,5758968.533720041,5381516.348335237
S2 XoL agregat 2->500 thn,wang,0.3,573-A,2,10829805.45,15042338.178979328,14058912.876377387
S2 XoL agregat 2->500 thn,wang,0.3,573-F,1,4321598.76,5624876.342588924,5315798.183689798
S2 XoL agregat 2->inf thn,wang,0.3,573-A,1,4144192.22,5761820.239668456,5384269.14987136
S2 XoL agregat 2->inf thn,wang,0.3,573-A,2,10829805.45,15049934.010477355,14066249.323883988
S2 XoL agregat 2->inf thn,wang,0.3,573-F,1,4321598.76,5626103.0063318135,5316962.088443912
S2 XoL agregat 3->50 thn,wang,0.3,573-A,1,4144192.22,5932499.987188973,5418902.307627484
S2 XoL agregat 3->50 thn,wang,0.3,573-A,2,10829805.45,15523468.74923438,14172325.032928096
S2 XoL agregat 3->50 thn,wang,0.3,573-F,1,4321598.76,5471563.727426704,5191909.172558449
S2 XoL agregat 3->100 thn,wang,0.3,573-A,1,4144192.22,5861701.328562784,5383794.096481958
S2 XoL agregat 3->100 thn,wang,0.3,573-A,2,10829805.45,15336834.502810888,14079747.04744506
S2 XoL agregat 3->100 thn,wang,0.3,573-F,1,4321598.76,5440990.75254696,5176914.4260803955
S2 XoL agregat 3->200 thn,wang,0.3,573-A,1,4144192.22,5793577.398184974,5347803.5355553785
S2 XoL agregat 3->200 thn,wang,0.3,573-A,2,10829805.45,15157314.24840172,13984903.32931258
S2 XoL agregat 3->200 thn,wang,0.3,573-F,1,4321598.76,5411220.245547551,5161201.310216966
S2 XoL agregat 3->500 thn,wang,0.3,573-A,1,4144192.22,5693384.816589026,5292674.357116866
S2 XoL agregat 3->500 thn,wang,0.3,573-A,2,10829805.45,14872162.29193268,13827712.912477659
S2 XoL agregat 3->500 thn,wang,0.3,573-F,1,4321598.76,5538375.522534978,5233625.853363587
S2 XoL agregat 3->inf thn,wang,0.3,573-A,1,4144192.22,5696059.936915993,5295327.439713818
S2 XoL agregat 3->inf thn,wang,0.3,573-A,2,10829805.45,14879298.613929585,13834789.87226598
S2 XoL agregat 3->inf thn,wang,0.3,573-F,1,4321598.76,5539479.739574465,5234720.611744015
S2 XoL agregat 4->50 thn,wang,0.3,573-A,1,4144192.22,5906765.992249387,5375944.839188526
S2 XoL agregat 4->50 thn,wang,0.3,573-A,2,10829805.45,15458287.491987254,14061371.997739518
S2 XoL agregat 4->50 thn,wang,0.3,573-F,1,4321598.76,5441165.7647997765,5156956.869401223
S2 XoL agregat 4->100 thn,wang,0.3,573-A,1,4144192.22,5835967.333623199,5340836.628043
S2 XoL agregat 4->100 thn,wang,0.3,573-A,2,10829805.45,15271653.24556376,13968794.012256483
S2 XoL agregat 4->100 thn,wang,0.3,573-F,1,4321598.76,5410592.789920031,5141962.12292317
S2 XoL agregat 4->200 thn,wang,0.3,573-A,1,4144192.22,5767843.4032453885,5304846.067116422
S2 XoL agregat 4->200 thn,wang,0.3,573-A,2,10829805.45,15092132.99115459,13873950.294124002
S2 XoL agregat 4->200 thn,wang,0.3,573-F,1,4321598.76,5380822.282920622,5126249.007059741
